X,Y,YEAR,MO,DAY,VEI,VOL_ID,FATALITIES,ASSOC_EQ,ASSOC_TSU,COMMENTS,DAMAGE_MILLIONS_DOLLARS,DAMAGE_AMOUNT_ORDER,DAMAGE_DESCRIPTION,DEATHS,DEATHS_AMOUNT_ORDER,DEATHS_DESCRIPTION,INJURIES,INJURIES_AMOUNT_ORDER,INJURIES_DESCRIPTION,MISSING,MISSING_AMOUNT_ORDER,MISSING_DESCRIPTION,HOUSES_DESTROYED,HOUSES_AMOUNT_ORDER,HOUSES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS_TOTAL,DAMAGE_AMOUNT_ORDER_TOTAL,DAMAGE_TOTAL_DESCRIPTION,DEATHS_TOTAL,DEATHS_AMOUNT_ORDER_TOTAL,DEATHS_TOTAL_DESCRIPTION,INJURIES_TOTAL,INJURIES_AMOUNT_ORDER_TOTAL,INJURIES_TOTAL_DESCRIPTION,MISSING_TOTAL,MISSING_AMOUNT_ORDER_TOTAL,MISSING_TOTAL_DESCRIPTION,HOUSES_DESTROYED_TOTAL,HOUSES_AMOUNT_ORDER_TOTAL,HOUSES_TOTAL_DESCRIPTION,SIGNIF,VALIDITY,NUM,NAME,LOCATION,LATITUDE,LONGITUDE,ELEVATION,MORPHOLOGY,STATUS,TIME_ERUPT,ID,COUNTRY,NUM_SLIDES,SIG_ID,TSU_ID,HAZ_EVENT_ID,OBJECTID
176.000000000000114,-38.82,230,,,6,40107,,,,The Taupo eruption was the latest and most powerful of the eruptions from the rhyolitic Taupo caldera volcano in Taupo Volcanic Zone since c. 22 600 14C BP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0401-07=,Taupo,New Zealand,-38.82,176,760,Caldera,Radiocarbon,D6,40107,New Zealand,0,,,1904,563
140.45,38.15,1867,10,21,2,80319,3,,,Overflow of muddy water from Okama crater lake killed 3 hot springs bathers at # foot of Goshiki-dake.,,,,3,1,Few (~1 to 50 people),,,,,,,,,,,,,3,1,Few (~1 to 50 people),,,,,,,,,,1,,0803-19=,Zao,Honshu-Japan,38.15,140.45,1841,Complex volcano,Historical,D2,80319,Japan,0,,,1232,813
37.25,27.08,640,,,2,30102,,,,"Bedouin describe fire and stones killing herdsmen, cattle, and sheep. Location and date uncertain.",,,,,1,Few (~1 to 50 people),,,,,,,,,,,,,,1,Few (~1 to 50 people),,,,,,,,,,1,,0301-02=,"Uwayrid, Harrat",Arabia-W,27.08,37.25,1900,Volcanic field,Anthropology,D6,30102,Saudi Arabia,0,,,1352,827
140.28,37.62,1900,7,17,2,80317,72,,,"72 sulfur miners in crater killed, 10 injured in explosive eruption.",,,,72,2,Some (~51 to 100 people),10,1,Few (~1 to 50 people),,,,,,,,,,72,2,Some (~51 to 100 people),10,1,Few (~1 to 50 people),,,,,,,1,,0803-17=,Adatara,Honshu-Japan,37.62,140.28,1718,Stratovolcano,Historical,D1,80317,Japan,0,,,1213,835
150.108,-5.056,1895,,,2,50204,,,,Eruption some years before 1923 killed people and destroyed property on E coast. Last known eruption was in the 1890s.,,1,Limited (<$1 million),,1,Few (~1 to 50 people),,,,,,,,,,,1,Limited (<$1 million),,1,Few (~1 to 50 people),,,,,,,,,,1,,0502-04=,Dakataua,New Britain-SW Pac,-5.056,150.108,400,Caldera,Anthropology,D3,50204,Papua New Guinea,0,,,1353,27
15.004,37.734,1985,12,19,1,10106,1,,,A strong earthquake and fracturing of the ground caused one death at Piano Provenzana. (reference #9675),,,,1,1,Few (~1 to 50 people),,,,,,,,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,1,,0101-06=,Etna,Italy,37.734,15.004,3350,Stratovolcano,Historical,D1,10106,Italy,0,,,1628,101
15.004,37.734,1929,8,2,2,10106,2,,,An explosion from the NE Crater killed two persons. (reference #9675),,,,2,1,Few (~1 to 50 people),,,,,,,,,,,,,2,1,Few (~1 to 50 people),,,,,,,,,,1,,0101-06=,Etna,Italy,37.734,15.004,3350,Stratovolcano,Historical,D1,10106,Italy,0,,,1581,101
15.004,37.734,1669,3,11,3,10106,,Y,,"Coleman indicates that 20,000 perished in this eruption, but this seems unlikely. Neither Rittmann nor Romano & Sturiale mention deaths in their accounts. Detailed report by Winchilsea mentions only a few deaths as a result of murders and executions amidst widespread destruction of towns and croplands. The Coleman account is perhaps confused with a 1693 tectonic earthquake that killed 60,000-100,000 in 50 towns in Sicily and 18,000 in Catania. Rodwell reported a 1693 eruption, but Sapper and Tanguy consider the eruption doubtful, and most others ignore it.",,,,,3,Many (~101 to 1000 people),,,,,,,,,,,,,,3,Many (~101 to 1000 people),,,,,,,,,,1,,0101-06=,Etna,Italy,37.734,15.004,3350,Stratovolcano,Historical,D1,10106,Italy,0,1057,,1350,101
43.38,-11.75,1977,4,5,0,30301,,,,,,1,Limited (<$1 million),,1,Few (~1 to 50 people),,,,,,,,,,,1,Limited (<$1 million),,1,Few (~1 to 50 people),,,,,,,,,,1,3,0303-01=,Karthala,Indian O-W,-11.75,43.38,2361,Shield volcano,Historical,D1,30301,Comoros,0,,,1731,323
147.120000000000118,-5.358,1660,,,6,50105,2000,,Y,1660? 2000? deaths. Impossible to give accurate estimate of deaths. Legends on Long Island report deaths in pyroclastic flows and tsunamis. On Papua New Guinea mainland widespread legends report deaths as a result of house collapse and starvation. (reference #9675),,3,Severe (~>$5 to $24 million),2000,4,Very Many (~1001 or more people),,,,,,,,3,Many (~101 to 1000 houses),,3,Severe (~>$5 to $24 million),2000,4,Very Many (~1001 or more people),,,,,,,,3,Many (~101 to 1000 houses),1,4,0501-05=,Long Island,New Guinea-NE of,-5.358,147.12,1280,Complex volcano,Historical,D1,50105,Papua New Guinea,0,,5482,1357,376
33.78,-9.23,1800,,,2,20217,,,,Oral history records an eruption about 1800 AD in which lava engulfed villages whose inhabitants were still asleep.,,3,Severe (~>$5 to $24 million),,3,Many (~101 to 1000 people),,,,,,,,,,,3,Severe (~>$5 to $24 million),,3,Many (~101 to 1000 people),,,,,,,,,,1,,0202-17=,Kieyo,Africa-E,-9.23,33.78,2175,Stratovolcano,Historical,D3,20217,Tanzania,0,,,1355,438
138.55,36.62,1932,10,1,3,80312,2,,,"2 killed, 7 injured in lahar generated by eruption while 20 were mining native sulfur from the crater lake bottom.",,,,2,1,Few (~1 to 50 people),7,1,Few (~1 to 50 people),,,,,,,,,,2,1,Few (~1 to 50 people),7,1,Few (~1 to 50 people),,,,,,,1,,0803-12=,Kusatsu-Shirane,Honshu-Japan,36.62,138.55,2176,Stratovolcano,Historical,D1,80312,Japan,0,,,1190,493
138.53,36.4,1803,7,4,2,80311,,,,CAVW lists fatalities but does not specify which 1803 eruption (July or November). JMA-75 and Murayama mention no fatalities for either.,,,,,1,Few (~1 to 50 people),,,,,,,,,,,,,,1,Few (~1 to 50 people),,,,,,,,,,1,,0803-11=,Asama,Honshu-Japan,36.4,138.53,2560,Complex volcano,Historical,D1,80311,Japan,0,,,1146,912
138.53,36.4,1961,8,18,2,80311,1,,,A climber at the summit at the time of an eruption was killed.,,,,1,1,Few (~1 to 50 people),,,,,,,,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,1,,0803-11=,Asama,Honshu-Japan,36.4,138.53,2560,Complex volcano,Historical,D1,80311,Japan,0,,,1176,912
138.53,36.4,1950,9,23,2,80311,1,,,"One climber killed, one injured from lithic ejecta. Air shock damaged houses.",,,,1,1,Few (~1 to 50 people),1,1,Few (~1 to 50 people),,,,,1,Few (~1 to 50 houses),,,,1,1,Few (~1 to 50 people),1,1,Few (~1 to 50 people),,,,,1,Few (~1 to 50 houses),1,,0803-11=,Asama,Honshu-Japan,36.4,138.53,2560,Complex volcano,Historical,D1,80311,Japan,0,,,1168,912
138.53,36.4,1947,7,6,2,80311,11,,,Eleven persons climing volcano were killed.,,,,11,1,Few (~1 to 50 people),,,,,,,,,,,,,11,1,Few (~1 to 50 people),,,,,,,,,,1,,0803-11=,Asama,Honshu-Japan,36.4,138.53,2560,Complex volcano,Historical,D1,80311,Japan,0,,,1166,912
138.53,36.4,1936,2,,3,80311,2,,,Single climbers killed on 7/29 and 10/29: the first possibly by small pyroclastic flow.,,,,2,1,Few (~1 to 50 people),,,,,,,,,,,,,2,1,Few (~1 to 50 people),,,,,,,,,,1,,0803-11=,Asama,Honshu-Japan,36.4,138.53,2560,Complex volcano,Historical,D1,80311,Japan,0,,,1163,912
